"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"478",15,"Sammy Watkins",FA,"WR161","-","-","-","-2.0","20% (2/10)"
"479",15,"Brian Hoyer",LV,"QB50","13","-","-","-3.1","0% (0/4)"
"480",15,"Brenton Strange",JAC,"TE63","9","2.4","-","-","-"
"481",15,"Jalen Reagor",NE,"WR162","11","3.8","-","-0.1","25% (3/12)"
"482",15,"Josh Oliver",MIN,"TE64","13","4.4","-","+0.4","31% (5/16)"
"483",15,"Byron Pringle",WAS,"WR163","14","-","-","-0.5","30% (3/10)"
"484",15,"Tommy Tremble",CAR,"TE65","7","5.0","-","+0.1","31% (5/16)"
"485",15,"Gary Brightwell",NYG,"RB133","13","3.0","-","-0.4","20% (3/15)"
"486",15,"Jimmy Graham",NO,"TE66","11","-","-","-","-"
"487",15,"Rakim Jarrett",TB,"WR164","5","-","-","-","-"
"488",15,"Jason Brownlee",NYJ,"WR165","7","-","-","-","-"
"489",16,"River Cracraft",MIA,"WR166","10","4.6","-","+0.9","28% (2/7)"
"490",16,"Jarrett Stidham",DEN,"QB51","9","7.6","-","+0.4","13% (2/15)"
"491",16,"Teagan Quitoriano",HOU,"TE67","7","4.4","-","-0.5","30% (3/10)"
"492",16,"Zach Wilson",NYJ,"QB52","7","4.0","-149","-2.3","33% (3/9)"
"493",16,"Justin Shorter",BUF,"WR167","13","-","-","-","-"
"494",16,"Dare Ogunbowale",HOU,"RB134","7","4.0","-","-0.1","20% (3/15)"
"495",16,"Trey Sermon",FA,"RB135","-","1.4","-","-0.7","50% (1/2)"
"496",16,"Tyler Badie",DEN,"RB136","9","7.2","-","-","-"
"497",16,"Emanuel Wilson",GB,"RB137","6","-","-","-","-"
"498",16,"Tanner Conner",MIA,"WR168","10","-","-","-","-"
"499",16,"Ray-Ray McCloud III",SF,"WR169","9","5.6","-","+1.1","27% (3/11)"
"500",16,"N'Keal Harry",MIN,"WR170","13","-","-","+0.4","25% (1/4)"
"501",16,"Quintez Cephus",DET,"WR171","9","-","-","-2.2","0% (0/7)"
"502",16,"Patrick Taylor Jr.",GB,"RB138","6","7.4","-","+0.1","25% (1/4)"
"503",16,"Tyler Kroft",MIA,"TE68","10","-","-","-0.8","22% (2/9)"
"504",16,"Alec Ingold",MIA,"RB139","10","1.0","-","+0.4","37% (6/16)"
"505",16,"Brandon Powell",MIN,"WR172","13","4.4","-","-0.6","26% (4/15)"
"506",16,"Demetric Felton Jr.",CIN,"RB140","7","3.6","-","-1.1","0% (0/7)"
"507",16,"Brandon Johnson",DEN,"WR173","9","-","-","-","-"
"508",16,"Danny Gray",SF,"WR174","9","5.4","-","-1.4","0% (0/3)"
"509",16,"Carson Wentz",FA,"QB53","-","-","-","+0.9","44% (4/9)"
"510",16,"Ko Kieft",TB,"TE69","5","-","-","-0.3","37% (6/16)"
"511",16,"Darrynton Evans",MIA,"RB141","10","-","-","-2.2","0% (0/4)"
"512",16,"Scotty Washington",FA,"WR175","-","-","-","-","-"
"513",16,"Dorian Thompson-Robinson",CLE,"QB54","5","-","-","-","-"
"514",16,"James Mitchell",DET,"TE70","9","5.6","-","-0.4","30% (4/13)"
"515",16,"Derius Davis",LAC,"WR176","5","-","-","-","-"
"516",16,"Snoop Conner",JAC,"RB142","9","3.0","-","-0.1","16% (1/6)"
"517",16,"Ihmir Smith-Marsette",CAR,"WR177","7","-","-","-1.1","0% (0/6)"
"518",16,"Brycen Hopkins",LAR,"TE71","10","2.2","-","-0.2","30% (4/13)"
"519",16,"Erik Ezukanma",MIA,"WR178","10","-","-","-","-"
"520",16,"Dee Eskridge",SEA,"WR179","5","6.2","-","-1.8","10% (1/10)"
"521",16,"Tylan Wallace",BAL,"WR180","13","-","-","-1.3","16% (1/6)"
"522",16,"Tre Tucker",LV,"WR181","13","-","-","-","-"
"523",16,"J.J. Taylor",FA,"RB143","-","-","-","-0.5","0% (0/1)"
"524",16,"Payne Durham",TB,"TE72","5","-","-","-","-"
"525",16,"Patrick Ricard",BAL,"RB144","13","5.8","-","-0.7","20% (3/15)"
"526",16,"Charlie Kolar",BAL,"TE73","13","6.2","-","-1.5","0% (0/3)"
"527",16,"D.J. Montgomery",IND,"WR182","11","-","-","-","-"
"528",16,"La'Mical Perine",KC,"RB145","10","-","-","-","-"
"529",16,"Stetson Bennett",LAR,"QB55","10","2.2","-","-","-"
"530",16,"Grant Calcaterra",PHI,"TE74","10","4.4","-","-0.7","23% (3/13)"
"531",16,"Davis Mills",HOU,"QB56","7","6.0","-","-0.5","40% (6/15)"
"532",16,"Tony Jones Jr.",NO,"RB146","11","-","-","-1.7","0% (0/6)"
"533",16,"C.J. Ham",MIN,"RB147","13","7.8","-","-0.3","23% (3/13)"
"534",16,"Trevon Wesco",TEN,"TE75","7","-","-","-0.2","16% (2/12)"
"535",16,"Marcus Mariota",PHI,"QB57","10","4.0","-","-0.4","53% (7/13)"
